# ORF	Gene	Plate	Well	mean(BY)	sd(BY)	mean(BY-HAP1)	sd(BY-HAP1)	mean(BY-MKT1-IRA2)	sd(BY-MKT1-IRA2)	mean(BY-HAP1-MKT1-IRA2)	sd(BY-HAP1-MKT1-IRA2)
YNL088W	TOP2	1	A3	3.33	0.05	3.37	0.01	3.33	0.05	3.37	0.10
YMR190C	SGS1	1	A5	3.35	0.06	3.32	0.07	3.36	0.08	3.34	0.03
YJL092W	HPR5	1	A6	3.32	0.07	3.32	0.09	3.31	0.03	3.31	0.05
YKL010C	UFD4	1	A7	3.44	0.04	3.44	0.04	3.44	0.07	3.44	0.08
YEL025C	SRI1	1	A8	3.29	0.07	3.33	0.03	3.29	0.02	3.32	0.02
YHR164C	DNA2	1	A9	3.34	0.05	3.33	0.04	3.34	0.05	3.37	0.08
YNR031C	SSK2	1	A11	3.35	0.00	3.37	0.00	3.36	0.04	3.37	0.07
YFL008W	SMC1	1	A12	3.37	0.04	3.38	0.01	3.37	0.04	3.38	0.03
YCL014W	BUD3	1	A13	3.34	0.04	3.36	0.05	3.37	0.03	3.37	0.05
YGR090W	UTP22	1	A14	3.40	0.01	3.41	0.08	3.43	0.02	3.45	0.03
YDR141C	DOP1	1	A15	3.42	0.06	3.44	0.03	3.47	0.02	3.46	0.01
YJL197W	UBP12	1	A16	3.41	0.07	3.41	0.02	3.40	0.04	3.42	0.00
YFL033C	RIM15	1	A17	3.32	0.00	3.32	0.07	3.34	0.01	3.35	0.00
YMR076C	PDS5	1	A18	3.31	0.02	3.33	0.02	3.35	0.02	3.34	0.02
YLR422W	0	1	A19	3.33	0.04	3.35	0.05	3.34	0.01	3.34	0.02
YDR217C	RAD9	1	A20	3.28	0.08	3.30	0.07	3.30	0.03	3.32	0.03
YER172C	BRR2	1	A21	3.32	0.07	3.35	0.09	3.33	0.04	3.32	0.02
YLR384C	IKI3	1	A22	3.54	0.01	3.52	0.01	3.49	0.00	3.50	0.02
YIL129C	TAO3	1	A23	3.34	0.12	3.39	0.05	3.31	0.08	3.36	0.01
YML049C	RSE1	1	A24	3.12	0.03	3.08	0.01	3.01	0.04	3.03	0.03
YOL089C	HAL9	1	B1	3.40	0.05	3.37	0.04	3.35	0.01	3.32	0.01
YGL093W	SPC105	1	B2	3.33	0.03	3.34	0.06	3.33	0.03	3.32	0.05
YCL024W	KCC4	1	B3	3.31	0.05	3.33	0.04	3.32	0.03	3.33	0.01
YER032W	FIR1	1	B4	3.33	0.02	3.35	0.06	3.27	0.07	3.32	0.03
YGR089W	NNF2	1	B6	3.39	0.03	3.37	0.04	3.39	0.04	3.36	0.05
YLR039C	RIC1	1	B7	3.36	0.01	3.40	0.03	3.36	0.01	3.39	0.00
YGL013C	PDR1	1	B9	3.31	0.00	3.33	0.03	3.35	0.01	3.31	0.01
YGR100W	MDR1	1	B10	3.42	0.03	3.42	0.03	3.38	0.04	3.39	0.02
YFL034W	0	1	B11	3.35	0.01	3.38	0.03	3.36	0.01	3.37	0.02
YGL227W	VID30	1	B12	3.37	0.02	3.38	0.01	3.33	0.06	3.36	0.02
YOL051W	GAL11	1	B13	3.37	0.03	3.38	0.03	3.34	0.01	3.35	0.01
YBR079C	RPG1	1	B14	3.89	0.01	3.77	0.05	3.85	0.04	3.83	0.05
YMR308C	PSE1	1	B15	3.50	0.00	3.46	0.05	3.50	0.01	3.50	0.03
YOR160W	MTR10	1	B16	3.37	0.00	3.39	0.03	3.38	0.01	3.37	0.03
YDL102W	CDC2	1	B17	3.45	0.04	3.43	0.05	3.45	0.01	3.46	0.03
YBL085W	BOI1	1	B18	3.35	0.04	3.37	0.01	3.37	0.03	3.33	0.07
YOR109W	INP53	1	B19	3.43	0.02	3.44	0.07	3.45	0.00	3.47	0.04
YOL021C	DIS3	1	B20	3.35	0.07	3.41	0.05	3.34	0.08	3.40	0.06
YNR067C	DSE4	1	B21	3.23	0.05	3.30	0.03	3.28	0.06	3.23	0.03
YDR495C	VPS3	1	B22	3.30	0.02	3.35	0.07	3.38	0.01	3.36	0.02
YML104C	MDM1	1	B23	3.26	0.03	3.33	0.08	3.28	0.03	3.28	0.07
YGR188C	BUB1	1	B24	3.30	0.08	3.39	0.05	3.38	0.01	3.41	0.01
YCR042C	TAF2	1	C1	3.40	0.01	3.37	0.05	3.42	0.11	3.37	0.06
YER129W	PAK1	1	C2	3.36	0.01	3.36	0.02	3.36	0.05	3.35	0.00
YPR189W	SKI3	1	C3	3.46	0.04	3.48	0.05	3.45	0.01	3.45	0.02
YBL105C	PKC1	1	C4	3.42	0.02	3.42	0.03	3.38	0.02	3.40	0.01
YGR116W	SPT6	1	C5	3.56	0.06	3.53	0.02	3.46	0.02	3.45	0.03
YLR272C	YCS4	1	C6	3.32	0.00	3.33	0.03	3.31	0.02	3.32	0.00
YGL197W	MDS3	1	C7	3.37	0.01	3.39	0.00	3.34	0.01	3.34	0.02
YJL076W	NET1	1	C8	3.47	0.01	3.47	0.02	3.43	0.01	3.44	0.04
YGL173C	KEM1	1	C9	3.71	0.02	3.63	0.03	3.60	0.03	3.62	0.03
YPR122W	AXL1	1	C10	3.31	0.01	3.34	0.01	3.33	0.02	3.32	0.00
YJR138W	IML1	1	C11	3.27	0.08	3.35	0.01	3.32	0.02	3.32	0.03
YCR033W	SNT1	1	C12	3.33	0.01	3.35	0.00	3.34	0.04	3.33	0.07
YJR140C	HIR3	1	C13	3.31	0.03	3.33	0.02	3.32	0.03	3.33	0.01
YNL273W	TOF1	1	C14	3.29	0.01	3.33	0.05	3.33	0.05	3.32	0.05
YOR290C	SNF2	1	C15	3.16	0.06	3.18	0.01	3.02	0.01	3.05	0.00
YGL133W	ITC1	1	C16	3.38	0.02	3.36	0.01	3.40	0.01	3.35	0.01
YBR208C	"DUR1,2"	1	C17	3.33	0.03	3.35	0.03	3.31	0.01	3.33	0.01
YMR012W	CLU1	1	C18	3.83	0.08	3.77	0.09	3.68	0.05	3.71	0.04
YNL271C	BNI1	1	C19	3.26	0.07	3.36	0.04	3.37	0.08	3.35	0.02
YNL250W	RAD50	1	C20	3.28	0.07	3.30	0.06	3.24	0.08	3.26	0.01
YER155C	BEM2	1	C21	3.39	0.02	3.40	0.06	3.37	0.09	3.32	0.11
YFL036W	RPO41	1	C22	3.51	0.18	3.66	0.03	3.63	0.03	3.59	0.01
YHR165C	PRP8	1	C23	3.33	0.02	3.35	0.09	3.35	0.02	3.37	0.01
YOR336W	KRE5	1	C24	3.24	0.05	3.38	0.05	3.25	0.09	3.41	0.03
YGR258C	RAD2	1	D1	3.40	0.07	3.37	0.00	3.36	0.06	3.37	0.06
YDR103W	STE5	1	D2	3.32	0.00	3.32	0.03	3.32	0.01	3.31	0.01
YPL009C	0	1	D3	3.47	0.02	3.46	0.00	3.45	0.07	3.44	0.02
YDR081C	PDC2	1	D4	3.32	0.01	3.34	0.01	3.30	0.07	3.33	0.04
YDL223C	HBT1	1	D5	3.43	0.02	3.44	0.04	3.36	0.02	3.37	0.04
YLR409C	UTP21	1	D6	3.35	0.01	3.38	0.05	3.32	0.03	3.34	0.05
YJL098W	SAP185	1	D7	3.35	0.01	3.38	0.02	3.35	0.01	3.38	0.01
YDR356W	SPC110	1	D8	3.32	0.02	3.33	0.00	3.31	0.00	3.31	0.02
YHR154W	RTT107	1	D9	3.32	0.01	3.26	0.05	3.34	0.03	3.26	0.01
YDR421W	ARO80	1	D10	3.30	0.01	3.33	0.00	3.32	0.04	3.31	0.00
YPR042C	PUF2	1	D11	3.36	0.05	3.36	0.04	3.34	0.03	3.36	0.00
YBR073W	RDH54	1	D12	3.28	0.01	3.33	0.02	3.34	0.03	3.31	0.06
YLR071C	RGR1	1	D13	3.30	0.03	3.36	0.00	3.29	0.05	3.34	0.06
YBR112C	CYC8	1	D14	3.43	0.01	3.45	0.01	3.36	0.07	3.43	0.03
YPL160W	CDC60	1	D15	4.02	0.04	3.85	0.06	3.85	0.01	3.87	0.01
YNL236W	SIN4	1	D16	3.37	0.03	3.36	0.01	3.38	0.06	3.35	0.03
YML100W	TSL1	1	D17	4.06	0.05	3.91	0.05	3.68	0.06	3.74	0.01
YOR346W	REV1	1	D18	3.23	0.02	3.31	0.04	3.29	0.04	3.25	0.05
