Orf	Name	130min	170min	Overnight
YJR069C	HAM1	-0.318783438	-0.581988866	-0.1934112
YDL090C	RAM1	1.81570758	-0.498252325	0.736309314
YJR077C	MIR1	-0.418463265	0.442277274	-0.324273139
YIL083C	CAB2	-0.202691266	0.221413047	0.695239219
YNL219C	ALG9	0.235230409	0.565864059	-0.070888185
YBR175W	SWD3	0.662247078	0.599659233	0.446905766
YBR263W	SHM1	-0.724812201	0.013374937	-0.119417562
YDR195W	REF2	0.563080434	0.343836994	-0.817783915
YNL061W	NOP2	-0.375551417	-0.132830819	-1.372979081
YJL026W	RNR2	-1.216235858	-0.340809095	-0.386898243
YMR144W	YMR144W	-0.624416231	-1.086792464	-0.19825095
YJR003C	YJR003C	-0.404724578	-0.442980765	-0.101130576
YLR270W	DCS1	0.453014725	1.117477468	0.219245805
YOR265W	RBL2	1.267246868	0.818427339	0.564053575
YGR121C	MEP1	-2.819382497	-2.528078404	-2.14916178
YLR348C	DIC1	1.114552562	0.790122514	0.156944095
YDR229W	IVY1	0.466855784	0.918670631	0.184720359
YIR015W	RPR2	-0.452330747	0.078066537	0.473357169
YPR190C	RPC82	0.39344289	0.408689724	-0.101953005
YPL070W	MUK1	-0.541190489	-0.185566447	-0.274323817
YML073C	RPL6A	-0.951079949	-0.628446111	NA
YDR083W	RRP8	-0.272655378	-0.863610186	-2.561988662
YDL219W	DTD1	0.139302321	-0.514259144	1.021550666
YJL044C	GYP6	-0.029582908	0.289235505	0.727600499
YHR204W	MNL1	0.564149499	0.021644161	-0.318091368
YKL049C	CSE4	-1.72521269	-1.624420021	-0.704820713
YOR173W	DCS2	-0.35573754	1.694074617	-1.644299116
YDR243C	PRP28	-0.58006989	-1.107336917	-0.35078114
YBR071W	YBR071W	-0.674002114	-0.692841401	-1.222777975
YPL045W	VPS16	-0.131272502	0.153308105	-0.900940711
YNL218W	MGS1	-0.103456498	-0.554438176	-0.56604044
YBL063W	KIP1	0.013428813	-0.842039247	2.752317269
YGR204W	ADE3	0.832548942	0.783155643	-0.719938477
YLR323C	CWC24	-0.047059616	-0.154339657	-0.552276096
YMR037C	MSN2	0.128488439	0.202291064	0.097948145
YKL058W	TOA2	-0.30446032	0.678520969	0.186726319
YDR234W	LYS4	-0.857054617	-0.749738241	0.934759157
YOR344C	TYE7	0.316920432	0.211921808	0.419049796
YPL198W	RPL7B	1.073007585	1.002015064	-1.108227577
YOR335C	ALA1	0.857418769	0.308838152	-0.566843152
YKR031C	SPO14	0.268268623	-0.427026585	0.733760353
YMR319C	FET4	-1.266435853	-0.018468909	0.777862087
YGR046W	TAM41	-0.189647501	0.012474483	0.062269259
YGL197W	MDS3	0.535553811	0.520634103	0.365040016
YPR107C	YTH1	-0.212060397	-0.102603991	-0.402992838
YJR146W	YJR146W	-0.04223229	0.606635534	1.46769508
YJL042W	MHP1	3.24949	0.934979066	1.452957826
YLR420W	URA4	-0.032834782	-0.072412542	0.195348916
YDL125C	HNT1	-0.179373216	0.547385949	-0.945571623
YOL006C	TOP1	1.324040229	1.603427425	-0.8039178
YNL304W	YPT11	-0.618739427	-0.06684399	-1.40056062
YLR223C	IFH1	0.030700696	0.23081866	1.779232152
YOR131C	YOR131C	0.378483629	-0.097126171	-0.521374586
YJR013W	GPI14	-0.263245339	-0.300889817	0.209977187
YOL057W	YOL057W	0.92546702	0.660037248	-0.274551525
YLR055C	SPT8	-0.817307156	-0.478125766	-0.603952227
YGR209C	TRX2	2.20356092	2.158347166	NA
YBR197C	YBR197C	-0.329382148	-0.157007117	-0.606908736
YOL068C	HST1	0.147146563	0.50561392	-0.370244367
YOL028C	YAP7	-0.111042566	0.108938881	-0.557793031
YBR130C	SHE3	-0.199029817	-0.247121068	-0.494824207
YOR143C	THI80	0.206534563	-0.800017976	-0.017824931
YHR097C	YHR097C	0.877906017	1.975547684	0.451904687
YKL197C	PEX1	0.173427806	0.240984936	1.804920136
YEL002C	WBP1	0.018182985	0.224771418	-0.275089092
YDR421W	ARO80	-0.371381847	0.273275443	-0.374404673
YPR097W	YPR097W	0.793944395	0.489920227	2.338178398
YJR105W	ADO1	-0.278091712	0.617973917	0.596324943
YGR031W	IMO32	-0.096652446	0.1092534	1.135343026
YNL216W	RAP1	1.308767941	1.244868356	0.057827824
YNL273W	TOF1	0.439382861	0.046144107	1.071410122
YIL030C	SSM4	-0.025257479	-0.259068259	0.232274578
YNL056W	OCA2	-0.689384475	-0.983600853	-0.98740346
YNL112W	DBP2	0.030355743	-0.648299749	-0.271925947
YKR100C	SKG1	1.591974599	1.580267608	0.167148721
YKR023W	YKR023W	1.496105242	0.323358988	-0.625370267
YOL087C	DUF1	-0.481111899	-0.061016169	0.976960836
