Orf	Name	130min	170min	Overnight
YJR069C	HAM1	 -0.3187834375  	  -0.5819888657  	  -0.1934112004  
YDL090C	RAM1	181570758.00	  -0.4982523251  	  0.7363093144  
YJR077C	MIR1	  -0.4184632655  	  0.4422772739  	  -0.3242731391  
YIL083C	CAB2	  -0.2026912665  	  0.2214130473  	  0.6952392189  
YNL219C	ALG9	  0.2352304088  	  0.5658640588  	  -0.07088818495  
YBR175W	SWD3	  0.6622470779  	  0.5996592329  	  0.4469057661  
YBR263W	SHM1	  -0.724812201  	  0.01337493698  	  -0.1194175622  
YDR195W	REF2	  0.5630804341  	  0.3438369942  	  -0.8177839155  
YNL061W	NOP2	  -0.3755514166  	  -0.1328308186  	-1372979081.00
YJL026W	RNR2	-1216235858.00	  -0.3408090954  	  -0.3868982433  
YMR144W	YMR144W	  -0.6244162311  	-1086792464.00	  -0.1982509504  
YJR003C	YJR003C	  -0.4047245776  	  -0.4429807649  	  -0.1011305765  
YLR270W	DCS1	  0.4530147246  	1117477468.00	  0.2192458052  
YOR265W	RBL2	1267246868.00	  0.8184273393  	  0.5640535748  
YGR121C	MEP1	-2819382497.00	-2528078404.00	-214916178.00
YLR348C	DIC1	1114552562.00	  0.790122514  	  0.156944095  
YDR229W	IVY1	  0.4668557839  	  0.9186706312  	  0.1847203589  
YIR015W	RPR2	  -0.4523307466  	  0.07806653663  	  0.4733571692  
YPR190C	RPC82	  0.3934428895  	  0.408689724  	  -0.1019530052  
YPL070W	MUK1	  -0.541190489  	  -0.1855664469  	  -0.2743238169  
YML073C	RPL6A	  -0.9510799492  	  -0.6284461106  	NA
YDR083W	RRP8	  -0.2726553779  	  -0.863610186  	-2561988662.00
YDL219W	DTD1	  0.1393023209  	  -0.5142591439  	1021550666.00
YJL044C	GYP6	  -0.02958290826  	  0.2892355049  	  0.7276004993  
YHR204W	MNL1	  0.5641494991  	  0.02164416089  	  -0.3180913676  
YKL049C	CSE4	-172521269.00	-1624420021.00	  -0.7048207135  
YOR173W	DCS2	  -0.3557375399  	1694074617.00	-1644299116.00
YDR243C	PRP28	  -0.58006989  	-1107336917.00	  -0.3507811396  
YBR071W	YBR071W	  -0.6740021143  	  -0.6928414007  	-1222777975.00
YPL045W	VPS16	  -0.1312725016  	  0.1533081054  	  -0.9009407108  
YNL218W	MGS1	  -0.1034564985  	  -0.5544381763  	  -0.5660404401  
YBL063W	KIP1	  0.01342881265  	  -0.8420392467  	2752317269.00
YGR204W	ADE3	  0.8325489419  	  0.7831556428  	  -0.719938477  
YLR323C	CWC24	  -0.04705961594  	  -0.1543396574  	  -0.5522760961  
YMR037C	MSN2	  0.1284884388  	  0.2022910641  	  0.09794814537  
YKL058W	TOA2	  -0.3044603202  	  0.6785209685  	  0.1867263195  
YDR234W	LYS4	  -0.8570546174  	  -0.7497382409  	  0.934759157  
YOR344C	TYE7	  0.3169204317  	  0.2119218079  	  0.4190497961  
YPL198W	RPL7B	1073007585.00	1002015064.00	-1108227577.00
YOR335C	ALA1	  0.8574187689  	  0.3088381519  	  -0.5668431523  
YKR031C	SPO14	  0.2682686226  	  -0.4270265853  	  0.7337603525  
YMR319C	FET4	-1266435853.00	  -0.0184689088  	  0.7778620865  
YGR046W	TAM41	  -0.1896475007  	  0.01247448348  	  0.06226925854  
YGL197W	MDS3	  0.5355538113  	  0.5206341029  	  0.3650400159  
YPR107C	YTH1	  -0.212060397  	  -0.1026039909  	  -0.4029928384  
YJR146W	YJR146W	  -0.04223229  	  0.6066355342  	146769508.00
YJL042W	MHP1	324949.00	NA	  0.9349790664  
YLR420W	URA4	  -0.03283478226  	  -0.07241254206  	  0.1953489159  
YDL125C	HNT1	  -0.1793732158  	  0.5473859492  	  -0.9455716228  
YOL006C	TOP1	1324040229.00	1603427425.00	  -0.8039178004  
YNL304W	YPT11	  -0.6187394274  	  -0.06684398956  	-140056062.00
YLR223C	IFH1	  0.03070069599  	  0.2308186604  	1779232152.00
YOR131C	YOR131C	  0.3784836285  	  -0.09712617109  	  -0.5213745858  
YJR013W	GPI14	  -0.2632453391  	  -0.3008898168  	  0.2099771869  
YOL057W	YOL057W	  0.9254670198  	  0.6600372475  	  -0.2745515247  
YLR055C	SPT8	  -0.8173071564  	  -0.4781257661  	  -0.6039522265  
YGR209C	TRX2	220356092.00	2158347166.00	NA
YBR197C	YBR197C	  -0.3293821485  	  -0.1570071171  	  -0.6069087359  
YOL068C	HST1	  0.147146563  	  0.5056139203  	  -0.3702443674  
YOL028C	YAP7	  -0.1110425661  	  0.1089388812  	  -0.5577930309  
YBR130C	SHE3	  -0.1990298172  	  -0.2471210679  	  -0.4948242066  
YOR143C	THI80	  0.2065345631  	  -0.8000179759  	  -0.01782493064  
YHR097C	YHR097C	  0.8779060173  	1975547684.00	  0.4519046874  
YKL197C	PEX1	  0.173427806  	  0.2409849359  	1804920136.00
YEL002C	WBP1	  0.01818298549  	  0.2247714181  	  -0.2750890922  
YDR421W	ARO80	  -0.3713818473  	  0.2732754434  	  -0.374404673  
YPR097W	YPR097W	  0.7939443949  	  0.4899202266  	2338178398.00
YJR105W	ADO1	  -0.2780917125  	  0.6179739172  	  0.5963249426  
YGR031W	IMO32	  -0.09665244631  	  0.1092533999  	1135343026.00
YNL216W	RAP1	1308767941.00	1244868356.00	  0.05782782408  
YNL273W	TOF1	  0.4393828606  	  0.04614410746  	1071410122.00
YIL030C	SSM4	  -0.02525747929  	  -0.2590682589  	  0.2322745778  
YNL056W	OCA2	  -0.6893844752  	  -0.9836008533  	  -0.9874034597  
YNL112W	DBP2	  0.03035574283  	  -0.6482997493  	  -0.2719259472  
YKR100C	SKG1	1591974599.00	1580267608.00	  0.1671487207  
YKR023W	YKR023W	1496105242.00	  0.3233589882  	  -0.6253702671  
YOL087C	DUF1	  -0.4811118991  	  -0.06101616948  	  0.9769608357  
YDR486C	VPS60	-1393332143.00	-1882161497.00	-1644042923.00
YOL049W	GSH2	  -0.8403323238  	  -0.9643923703  	  0.1323285276  
YEL054C	RPL12A	  -0.334844685  	  -0.4171793264  	  -0.03600061405  
YBL067C	UBP13	  0.4085929826  	  0.5056559493  	2084418248.00
YPR145W	ASN1	  -0.6948624078  	  0.617729725  	  0.6756230475  
YKL069W	YKL069W	  -0.2765637654  	-1063673906.00	  -0.06201130495  
YIL096C	BMT5	  0.05519170566  	  -0.299330632  	1548594788.00
YHR101C	BIG1	  -0.9690271379  	  -0.09506545114  	1354342006.00
YOR363C	PIP2	  0.236022357  	  0.1994757309  	  0.2760991909  
YMR207C	HFA1	  0.8248381546  	  0.4459398013  	2121034983.00
YFL034C-BMOB2	NA	NA	  -0.1569665549  	  0.8151305444  
YBR097W	VPS15	  0.06634530898  	  0.1517775956  	  0.211515247  
YOR272W	YTM1	  -0.00291785821  	-1765855943.00	-1023790357.00
YOR347C	PYK2	  0.4814106315  	  0.5916331208  	  -0.1707656757  
YOR262W	GPN2	  0.3259491732  	  -0.2045314389  	  0.06131151045  
YOR227W	HER1	  0.9309730966  	  0.7796597448  	2876946445.00
